'0','iwkna01','Dagger(A)'
'6261','iwuva50','wind_Intense_Launcher50(48)'
'6262','iwuvb50','Endurance_Intense_Launcher50(48)'
'6263','iwuvc50','Pain_Intense_Launcher50(48)'
'6264','iwuvd50','Smart_Intense_Launcher50(48)'
'6265','iwuve50','Strong_Intense_Launcher50(48)'
'6266','iwuvf50','Solid_Intense_Launcher50(48)'
'6267','iwuvg50','Strength_Intense_Launcher50(48)'
'6268','iwuvh50','Advanced_Strength_Intense_Launcher50(48)'
'6269','iwuvi50','Vampire_Intense_Launcher50(48)'
'6270','iwuvj50','Guardian_Intense_Launcher50(48)'
'6271','iwuvk50','Sharp_Intense_Launcher50(48)'
'6272','iwuvl50','Grand_Intense_Launcher50(48)'
'6273','iwava30','wind_Intense_Faust30(28)'
'6274','iwavb30','Endurance_Intense_Faust30(28)'
'6275','iwavc30','Pain_Intense_Faust30(28)'
'6276','iwavd30','Smart_Intense_Faust30(28)'
'6277','iwave30','Strong_Intense_Faust30(28)'
'6278','iwavf30','Solid_Intense_Faust30(28)'
'6279','iwavg30','Strength_Intense_Faust30(28)'
'6280','iwavh30','Advanced_Strength_Intense_Faust30(28)'
'6281','iwavi30','Vampire_Intense_Faust30(28)'
'6282','iwavj30','Guardian_Intense_Faust30(28)'
'6283','iwavk30','Sharp_Intense_Faust30(28)'
'6284','iwavl30','Grand_Intense_Faust30(28)'
'6285','iwava35','wind_Intense_Faust35(33)'
'6286','iwavb35','Endurance_Intense_Faust35(33)'
'6287','iwavc35','Pain_Intense_Faust35(33)'
'6288','iwavd35','Smart_Intense_Faust35(33)'
'6289','iwave35','Strong_Intense_Faust35(33)'
'6290','iwavf35','Solid_Intense_Faust35(33)'
'6291','iwavg35','Strength_Intense_Faust35(33)'
'6292','iwavh35','Advanced_Strength_Intense_Faust35(33)'
'6293','iwavi35','Vampire_Intense_Faust35(33)'
'6294','iwavj35','Guardian_Intense_Faust35(33)'
'6295','iwavk35','Sharp_Intense_Faust35(33)'
'6296','iwavl35','Grand_Intense_Faust35(33)'
'6297','iwava40','wind_Intense_Faust40(38)'
'6298','iwavb40','Endurance_Intense_Faust40(38)'
'6299','iwavc40','Pain_Intense_Faust40(38)'
'6300','iwavd40','Smart_Intense_Faust40(38)'
'6301','iwave40','Strong_Intense_Faust40(38)'
'6302','iwavf40','Solid_Intense_Faust40(38)'
'6303','iwavg40','Strength_Intense_Faust40(38)'
'6304','iwavh40','Advanced_Strength_Intense_Faust40(38)'
'6305','iwavi40','Vampire_Intense_Faust40(38)'
'6306','iwavj40','Guardian_Intense_Faust40(38)'
'6307','iwavk40','Sharp_Intense_Faust40(38)'
'6308','iwavl40','Grand_Intense_Faust40(38)'
'6309','iwava45','wind_Intense_Faust45(43)'
'6310','iwavb45','Endurance_Intense_Faust45(43)'
'6311','iwavc45','Pain_Intense_Faust45(43)'
'6312','iwavd45','Smart_Intense_Faust45(43)'
'6313','iwave45','Strong_Intense_Faust45(43)'
'6314','iwavf45','Solid_Intense_Faust45(43)'
'6315','iwavg45','Strength_Intense_Faust45(43)'
'6316','iwavh45','Advanced_Strength_Intense_Faust45(43)'
'6317','iwavi45','Vampire_Intense_Faust45(43)'
'6318','iwavj45','Guardian_Intense_Faust45(43)'
'6319','iwavk45','Sharp_Intense_Faust45(43)'
'6320','iwavl45','Grand_Intense_Faust45(43)'
'6321','iwava50','wind_Intense_Hora_Paust(48)'
'6322','iwavb50','Endurance_Intense_Hora_Paust(48)'
'6323','iwavc50','Pain_Intense_Hora_Paust(48)'
'6324','iwavd50','Smart_Intense_Hora_Paust(48)'
'6325','iwave50','Strong_Intense_Hora_Paust(48)'
'6326','iwavf50','Solid_Intense_Hora_Paust(48)'
'6327','iwavg50','Strength_Intense_Hora_Paust(48)'
'6328','iwavh50','Advanced_Strength_Intense_Hora_Paust(48)'
'6329','iwavi50','Vampire_Intense_Hora_Paust(48)'
'6330','iwavj50','Guardian_Intense_Hora_Paust(48)'
'6331','iwavk50','Sharp_Intense_Hora_Paust(48)'
'6332','iwavl50','Grand_Intense_Hora_Paust(48)'
'6333','iwlva30','wind_Intense_Flamthrower30(28)'
'6334','iwlvb30','Endurance_Intense_Flamthrower30(28)'
'6335','iwlvc30','Pain_Intense_Flamthrower30(28)'
'6336','iwlvd30','Smart_Intense_Flamthrower30(28)'
'6337','iwlve30','Strong_Intense_Flamthrower30(28)'
'6338','iwlvf30','Solid_Intense_Flamthrower30(28)'
'6339','iwlvg30','Strength_Intense_Flamthrower30(28)'
'6340','iwlvh30','Advanced_Strength_Intense_Flamthrower30(28)'
'6341','iwlvi30','Vampire_Intense_Flamthrower30(28)'
'6342','iwlvj30','Guardian_Intense_Flamthrower30(28)'
'6343','iwlvk30','Sharp_Intense_Flamthrower30(28)'
'6344','iwlvl30','Grand_Intense_Flamthrower30(28)'
'6345','iwlva35','wind_Intense_Flamthrower35(33)'
'6346','iwlvb35','Endurance_Intense_Flamthrower35(33)'
'6347','iwlvc35','Pain_Intense_Flamthrower35(33)'
'6348','iwlvd35','Smart_Intense_Flamthrower35(33)'
'6349','iwlve35','Strong_Intense_Flamthrower35(33)'
'6350','iwlvf35','Solid_Intense_Flamthrower35(33)'
'6351','iwlvg35','Strength_Intense_Flamthrower35(33)'
'6352','iwlvh35','Advanced_Strength_Intense_Flamthrower35(33)'
'6353','iwlvi35','Vampire_Intense_Flamthrower35(33)'
'6354','iwlvj35','Guardian_Intense_Flamthrower35(33)'
'6355','iwlvk35','Sharp_Intense_Flamthrower35(33)'
'6356','iwlvl35','Grand_Intense_Flamthrower35(33)'
'6357','iwlva40','wind_Intense_Flamethrower(38)'
'6358','iwlvb40','Endurance_Intense_Flamethrower(38)'
'6359','iwlvc40','Pain_Intense_Flamethrower(38)'
'6360','iwlvd40','Smart_Intense_Flamethrower(38)'
'6361','iwlve40','Strong_Intense_Flamethrower(38)'
'6362','iwlvf40','Solid_Intense_Flamethrower(38)'
'6363','iwlvg40','Strength_Intense_Flamethrower(38)'
'6364','iwlvh40','Advanced_Strength_Intense_Flamethrower(38)'
'6365','iwlvi40','Vampire_Intense_Flamethrower(38)'
'6366','iwlvj40','Guardian_Intense_Flamethrower(38)'
'6367','iwlvk40','Sharp_Intense_Flamethrower(38)'
'6368','iwlvl40','Grand_Intense_Flamethrower(38)'
'6369','iwlva45','wind_Intense_Flamthrower45(43)'
'6370','iwlvb45','Endurance_Intense_Flamthrower45(43)'
'6371','iwlvc45','Pain_Intense_Flamthrower45(43)'
'6372','iwlvd45','Smart_Intense_Flamthrower45(43)'
'6373','iwlve45','Strong_Intense_Flamthrower45(43)'
'6374','iwlvf45','Solid_Intense_Flamthrower45(43)'
'6375','iwlvg45','Strength_Intense_Flamthrower45(43)'
'6376','iwlvh45','Advanced_Strength_Intense_Flamthrower45(43)'
'6377','iwlvi45','Vampire_Intense_Flamthrower45(43)'
'6378','iwlvj45','Guardian_Intense_Flamthrower45(43)'
'6379','iwlvk45','Sharp_Intense_Flamthrower45(43)'
'6380','iwlvl45','Grand_Intense_Flamthrower45(43)'
'6381','iwlva50','wind_Intense_Flamthrower50(48)'
'6382','iwlvb50','Endurance_Intense_Flamthrower50(48)'
'6383','iwlvc50','Pain_Intense_Flamthrower50(48)'
'6384','iwlvd50','Smart_Intense_Flamthrower50(48)'
'6385','iwlve50','Strong_Intense_Flamthrower50(48)'
'6386','iwlvf50','Solid_Intense_Flamthrower50(48)'
'6387','iwlvg50','Strength_Intense_Flamthrower50(48)'
'6388','iwlvh50','Advanced_Strength_Intense_Flamthrower50(48)'
'6389','iwlvi50','Vampire_Intense_Flamthrower50(48)'
'6390','iwlvj50','Guardian_Intense_Flamthrower50(48)'
'6391','iwlvk50','Sharp_Intense_Flamthrower50(48)'
'6392','iwlvl50','Grand_Intense_Flamthrower50(48)'
'6393','iwkma30','wind_Intense_Beem_Saver(27)'
'6394','iwkmb30','Endurance_Intense_Beem_Saver(27)'
'6395','iwkmc30','Pain_Intense_Beem_Saver(27)'
'6396','iwkmd30','Smart_Intense_Beem_Saver(27)'
'6397','iwkme30','Strong_Intense_Beem_Saver(27)'
'6398','iwkmf30','Solid_Intense_Beem_Saver(27)'
'6399','iwkmg30','Strength_Intense_Beem_Saver(27)'
'6400','iwkmh30','Advanced_Strength_Intense_Beem_Saver(27)'
'6401','iwkmi30','Vampire_Intense_Beem_Saver(27)'
'6402','iwkmj30','Guardian_Intense_Beem_Saver(27)'
'6403','iwkmk30','Sharp_Intense_Beem_Saver(27)'
'6404','iwkml30','Grand_Intense_Beem_Saver(27)'
'6405','iwkma35','wind_Intense_Bon_Knife(32)'
'6406','iwkmb35','Endurance_Intense_Bon_Knife(32)'
'6407','iwkmc35','Pain_Intense_Bon_Knife(32)'
'6408','iwkmd35','Smart_Intense_Bon_Knife(32)'
'6409','iwkme35','Strong_Intense_Bon_Knife(32)'
'6410','iwkmf35','Solid_Intense_Bon_Knife(32)'
'6411','iwkmg35','Strength_Intense_Bon_Knife(32)'
'6412','iwkmh35','Advanced_Strength_Intense_Bon_Knife(32)'
'6413','iwkmi35','Vampire_Intense_Bon_Knife(32)'
'6414','iwkmj35','Guardian_Intense_Bon_Knife(32)'
'6415','iwkmk35','Sharp_Intense_Bon_Knife(32)'
'6416','iwkml35','Grand_Intense_Bon_Knife(32)'
'6417','iwkma40','wind_Intense_Gun_Blade(37)'
'6418','iwkmb40','Endurance_Intense_Gun_Blade(37)'
'6419','iwkmc40','Pain_Intense_Gun_Blade(37)'
'6420','iwkmd40','Smart_Intense_Gun_Blade(37)'
'6421','iwkme40','Strong_Intense_Gun_Blade(37)'
'6422','iwkmf40','Solid_Intense_Gun_Blade(37)'
'6423','iwkmg40','Strength_Intense_Gun_Blade(37)'
'6424','iwkmh40','Advanced_Strength_Intense_Gun_Blade(37)'
'6425','iwkmi40','Vampire_Intense_Gun_Blade(37)'
'6426','iwkmj40','Guardian_Intense_Gun_Blade(37)'
'6427','iwkmk40','Sharp_Intense_Gun_Blade(37)'
'6428','iwkml40','Grand_Intense_Gun_Blade(37)'
'6429','iwkma45','wind_Intense_Cycle_Knife(42)'
'6430','iwkmb45','Endurance_Intense_Cycle_Knife(42)'
'6431','iwkmc45','Pain_Intense_Cycle_Knife(42)'
'6432','iwkmd45','Smart_Intense_Cycle_Knife(42)'
'6433','iwkme45','Strong_Intense_Cycle_Knife(42)'
'6434','iwkmf45','Solid_Intense_Cycle_Knife(42)'
'6435','iwkmg45','Strength_Intense_Cycle_Knife(42)'
'6436','iwkmh45','Advanced_Strength_Intense_Cycle_Knife(42)'
'6437','iwkmi45','Vampire_Intense_Cycle_Knife(42)'
'6438','iwkmj45','Guardian_Intense_Cycle_Knife(42)'
'6439','iwkmk45','Sharp_Intense_Cycle_Knife(42)'
'6440','iwkml45','Grand_Intense_Cycle_Knife(42)'
'6441','iwkma50','wind_Intense_Hora_Knife(47)'
'6442','iwkmb50','Endurance_Intense_Hora_Knife(47)'
'6443','iwkmc50','Pain_Intense_Hora_Knife(47)'
'6444','iwkmd50','Smart_Intense_Hora_Knife(47)'
'6445','iwkme50','Strong_Intense_Hora_Knife(47)'
'6446','iwkmf50','Solid_Intense_Hora_Knife(47)'
'6447','iwkmg50','Strength_Intense_Hora_Knife(47)'
'6448','iwkmh50','Advanced_Strength_Intense_Hora_Knife(47)'
'6449','iwkmi50','Vampire_Intense_Hora_Knife(47)'
'6450','iwkmj50','Guardian_Intense_Hora_Knife(47)'
'6451','iwkmk50','Sharp_Intense_Hora_Knife(47)'
'6452','iwkml50','Grand_Intense_Hora_Knife(47)'
'6453','iwsma30','wind_Intense_Beem_Sword(27)'
'6454','iwsmb30','Endurance_Intense_Beem_Sword(27)'
'6455','iwsmc30','Pain_Intense_Beem_Sword(27)'
'6456','iwsmd30','Smart_Intense_Beem_Sword(27)'
'6457','iwsme30','Strong_Intense_Beem_Sword(27)'
'6458','iwsmf30','Solid_Intense_Beem_Sword(27)'
'6459','iwsmg30','Strength_Intense_Beem_Sword(27)'
'6460','iwsmh30','Advanced_Strength_Intense_Beem_Sword(27)'
'6461','iwsmi30','Vampire_Intense_Beem_Sword(27)'
'6462','iwsmj30','Guardian_Intense_Beem_Sword(27)'
'6463','iwsmk30','Sharp_Intense_Beem_Sword(27)'
'6464','iwsml30','Grand_Intense_Beem_Sword(27)'
'6465','iwsma35','wind_Intense_Scale_Sword(32)'
'6466','iwsmb35','Endurance_Intense_Scale_Sword(32)'
'6467','iwsmc35','Pain_Intense_Scale_Sword(32)'
'6468','iwsmd35','Smart_Intense_Scale_Sword(32)'
'6469','iwsme35','Strong_Intense_Scale_Sword(32)'
'6470','iwsmf35','Solid_Intense_Scale_Sword(32)'
'6471','iwsmg35','Strength_Intense_Scale_Sword(32)'
'6472','iwsmh35','Advanced_Strength_Intense_Scale_Sword(32)'
'6473','iwsmi35','Vampire_Intense_Scale_Sword(32)'
'6474','iwsmj35','Guardian_Intense_Scale_Sword(32)'
'6475','iwsmk35','Sharp_Intense_Scale_Sword(32)'
'6476','iwsml35','Grand_Intense_Scale_Sword(32)'
'6477','iwsma40','wind_Intense_Estuck(37)'
'6478','iwsmb40','Endurance_Intense_Estuck(37)'
'6479','iwsmc40','Pain_Intense_Estuck(37)'
'6480','iwsmd40','Smart_Intense_Estuck(37)'
'6481','iwsme40','Strong_Intense_Estuck(37)'
'6482','iwsmf40','Solid_Intense_Estuck(37)'
'6483','iwsmg40','Strength_Intense_Estuck(37)'
'6484','iwsmh40','Advanced_Strength_Intense_Estuck(37)'
'6485','iwsmi40','Vampire_Intense_Estuck(37)'
'6486','iwsmj40','Guardian_Intense_Estuck(37)'
'6487','iwsmk40','Sharp_Intense_Estuck(37)'
'6488','iwsml40','Grand_Intense_Estuck(37)'
'6489','iwsma45','wind_Intense_Spedona(42)'
'6490','iwsmb45','Endurance_Intense_Spedona(42)'
'6491','iwsmc45','Pain_Intense_Spedona(42)'
'6492','iwsmd45','Smart_Intense_Spedona(42)'
'6493','iwsme45','Strong_Intense_Spedona(42)'
'6494','iwsmf45','Solid_Intense_Spedona(42)'
'6495','iwsmg45','Strength_Intense_Spedona(42)'
'6496','iwsmh45','Advanced_Strength_Intense_Spedona(42)'
'6497','iwsmi45','Vampire_Intense_Spedona(42)'
'6498','iwsmj45','Guardian_Intense_Spedona(42)'
'6499','iwsmk45','Sharp_Intense_Spedona(42)'
'6500','iwsml45','Grand_Intense_Spedona(42)'
'6501','iwsma50','wind_Intense_Hora_Sword(47)'
'6502','iwsmb50','Endurance_Intense_Hora_Sword(47)'
'6503','iwsmc50','Pain_Intense_Hora_Sword(47)'
'6504','iwsmd50','Smart_Intense_Hora_Sword(47)'
'6505','iwsme50','Strong_Intense_Hora_Sword(47)'
'6506','iwsmf50','Solid_Intense_Hora_Sword(47)'
'6507','iwsmg50','Strength_Intense_Hora_Sword(47)'
'6508','iwsmh50','Advanced_Strength_Intense_Hora_Sword(47)'
'6509','iwsmi50','Vampire_Intense_Hora_Sword(47)'
'6510','iwsmj50','Guardian_Intense_Hora_Sword(47)'
'6511','iwsmk50','Sharp_Intense_Hora_Sword(47)'
'6512','iwsml50','Grand_Intense_Hora_Sword(47)'
'6513','iwxma30','wind_Intense_Battle_Beem_Axe(27)'
'6514','iwxmb30','Endurance_Intense_Battle_Beem_Axe(27)'
'6515','iwxmc30','Pain_Intense_Battle_Beem_Axe(27)'
'6516','iwxmd30','Smart_Intense_Battle_Beem_Axe(27)'
'6517','iwxme30','Strong_Intense_Battle_Beem_Axe(27)'
'6518','iwxmf30','Solid_Intense_Battle_Beem_Axe(27)'
'6519','iwxmg30','Strength_Intense_Battle_Beem_Axe(27)'
'6520','iwxmh30','Advanced_Strength_Intense_Battle_Beem_Axe(27)'
'6521','iwxmi30','Vampire_Intense_Battle_Beem_Axe(27)'
'6522','iwxmj30','Guardian_Intense_Battle_Beem_Axe(27)'
'6523','iwxmk30','Sharp_Intense_Battle_Beem_Axe(27)'
'6524','iwxml30','Grand_Intense_Battle_Beem_Axe(27)'
'6525','iwxma35','wind_Intense_Great_Beem_Axe(32)'
'6526','iwxmb35','Endurance_Intense_Great_Beem_Axe(32)'
'6527','iwxmc35','Pain_Intense_Great_Beem_Axe(32)'
'6528','iwxmd35','Smart_Intense_Great_Beem_Axe(32)'
'6529','iwxme35','Strong_Intense_Great_Beem_Axe(32)'
'6530','iwxmf35','Solid_Intense_Great_Beem_Axe(32)'
'6531','iwxmg35','Strength_Intense_Great_Beem_Axe(32)'
'6532','iwxmh35','Advanced_Strength_Intense_Great_Beem_Axe(32)'
'6533','iwxmi35','Vampire_Intense_Great_Beem_Axe(32)'
'6534','iwxmj35','Guardian_Intense_Great_Beem_Axe(32)'
'6535','iwxmk35','Sharp_Intense_Great_Beem_Axe(32)'
'6536','iwxml35','Grand_Intense_Great_Beem_Axe(32)'
'6537','iwxma40','wind_Intense_Buroba(37)'
'6538','iwxmb40','Endurance_Intense_Buroba(37)'
'6539','iwxmc40','Pain_Intense_Buroba(37)'
'6540','iwxmd40','Smart_Intense_Buroba(37)'
'6541','iwxme40','Strong_Intense_Buroba(37)'
'6542','iwxmf40','Solid_Intense_Buroba(37)'
'6543','iwxmg40','Strength_Intense_Buroba(37)'
'6544','iwxmh40','Advanced_Strength_Intense_Buroba(37)'
'6545','iwxmi40','Vampire_Intense_Buroba(37)'
'6546','iwxmj40','Guardian_Intense_Buroba(37)'
'6547','iwxmk40','Sharp_Intense_Buroba(37)'
'6548','iwxml40','Grand_Intense_Buroba(37)'
'6549','iwxma45','wind_Intense_Tower_Axe(42)'
'6550','iwxmb45','Endurance_Intense_Tower_Axe(42)'
'6551','iwxmc45','Pain_Intense_Tower_Axe(42)'
'6552','iwxmd45','Smart_Intense_Tower_Axe(42)'
'6553','iwxme45','Strong_Intense_Tower_Axe(42)'
'6554','iwxmf45','Solid_Intense_Tower_Axe(42)'
'6555','iwxmg45','Strength_Intense_Tower_Axe(42)'
'6556','iwxmh45','Advanced_Strength_Intense_Tower_Axe(42)'
'6557','iwxmi45','Vampire_Intense_Tower_Axe(42)'
'6558','iwxmj45','Guardian_Intense_Tower_Axe(42)'
'6559','iwxmk45','Sharp_Intense_Tower_Axe(42)'
'6560','iwxml45','Grand_Intense_Tower_Axe(42)'
'6561','iwxma50','wind_Intense_Hora_Axe(47)'
'6562','iwxmb50','Endurance_Intense_Hora_Axe(47)'
'6563','iwxmc50','Pain_Intense_Hora_Axe(47)'
'6564','iwxmd50','Smart_Intense_Hora_Axe(47)'
'6565','iwxme50','Strong_Intense_Hora_Axe(47)'
'6566','iwxmf50','Solid_Intense_Hora_Axe(47)'
'6567','iwxmg50','Strength_Intense_Hora_Axe(47)'
'6568','iwxmh50','Advanced_Strength_Intense_Hora_Axe(47)'
'6569','iwxmi50','Vampire_Intense_Hora_Axe(47)'
'6570','iwxmj50','Guardian_Intense_Hora_Axe(47)'
'6571','iwxmk50','Sharp_Intense_Hora_Axe(47)'
'6572','iwxml50','Grand_Intense_Hora_Axe(47)'
'6573','iwmma30','wind_Intense_Beem_Hammer(27)'
'6574','iwmmb30','Endurance_Intense_Beem_Hammer(27)'
'6575','iwmmc30','Pain_Intense_Beem_Hammer(27)'
'6576','iwmmd30','Smart_Intense_Beem_Hammer(27)'
'6577','iwmme30','Strong_Intense_Beem_Hammer(27)'
'6578','iwmmf30','Solid_Intense_Beem_Hammer(27)'
'6579','iwmmg30','Strength_Intense_Beem_Hammer(27)'
'6580','iwmmh30','Advanced_Strength_Intense_Beem_Hammer(27)'
'6581','iwmmi30','Vampire_Intense_Beem_Hammer(27)'
'6582','iwmmj30','Guardian_Intense_Beem_Hammer(27)'
'6583','iwmmk30','Sharp_Intense_Beem_Hammer(27)'
'6584','iwmml30','Grand_Intense_Beem_Hammer(27)'
'6585','iwmma35','wind_Intense_Great_Maul(32)'
'6586','iwmmb35','Endurance_Intense_Great_Maul(32)'
'6587','iwmmc35','Pain_Intense_Great_Maul(32)'
'6588','iwmmd35','Smart_Intense_Great_Maul(32)'
'6589','iwmme35','Strong_Intense_Great_Maul(32)'
'6590','iwmmf35','Solid_Intense_Great_Maul(32)'
'6591','iwmmg35','Strength_Intense_Great_Maul(32)'
'6592','iwmmh35','Advanced_Strength_Intense_Great_Maul(32)'
'6593','iwmmi35','Vampire_Intense_Great_Maul(32)'
'6594','iwmmj35','Guardian_Intense_Great_Maul(32)'
'6595','iwmmk35','Sharp_Intense_Great_Maul(32)'
'6596','iwmml35','Grand_Intense_Great_Maul(32)'
'6597','iwmma40','wind_Intense_Beem_Great_Hammer(37)'
'6598','iwmmb40','Endurance_Intense_Beem_Great_Hammer(37)'
'6599','iwmmc40','Pain_Intense_Beem_Great_Hammer(37)'
'6600','iwmmd40','Smart_Intense_Beem_Great_Hammer(37)'
'6601','iwmme40','Strong_Intense_Beem_Great_Hammer(37)'
'6602','iwmmf40','Solid_Intense_Beem_Great_Hammer(37)'
'6603','iwmmg40','Strength_Intense_Beem_Great_Hammer(37)'
'6604','iwmmh40','Advanced_Strength_Intense_Beem_Great_Hammer(37)'
'6605','iwmmi40','Vampire_Intense_Beem_Great_Hammer(37)'
'6606','iwmmj40','Guardian_Intense_Beem_Great_Hammer(37)'
'6607','iwmmk40','Sharp_Intense_Beem_Great_Hammer(37)'
'6608','iwmml40','Grand_Intense_Beem_Great_Hammer(37)'
'6609','iwmma45','wind_Intense_Beem_Great_Maul(42)'
'6610','iwmmb45','Endurance_Intense_Beem_Great_Maul(42)'
'6611','iwmmc45','Pain_Intense_Beem_Great_Maul(42)'
'6612','iwmmd45','Smart_Intense_Beem_Great_Maul(42)'
'6613','iwmme45','Strong_Intense_Beem_Great_Maul(42)'
'6614','iwmmf45','Solid_Intense_Beem_Great_Maul(42)'
'6615','iwmmg45','Strength_Intense_Beem_Great_Maul(42)'
'6616','iwmmh45','Advanced_Strength_Intense_Beem_Great_Maul(42)'
'6617','iwmmi45','Vampire_Intense_Beem_Great_Maul(42)'
'6618','iwmmj45','Guardian_Intense_Beem_Great_Maul(42)'
'6619','iwmmk45','Sharp_Intense_Beem_Great_Maul(42)'
'6620','iwmml45','Grand_Intense_Beem_Great_Maul(42)'
'6621','iwmma50','wind_Intense_Hora_Hammer(47)'
'6622','iwmmb50','Endurance_Intense_Hora_Hammer(47)'
'6623','iwmmc50','Pain_Intense_Hora_Hammer(47)'
'6624','iwmmd50','Smart_Intense_Hora_Hammer(47)'
'6625','iwmme50','Strong_Intense_Hora_Hammer(47)'
'6626','iwmmf50','Solid_Intense_Hora_Hammer(47)'
'6627','iwmmg50','Strength_Intense_Hora_Hammer(47)'
'6628','iwmmh50','Advanced_Strength_Intense_Hora_Hammer(47)'
'6629','iwmmi50','Vampire_Intense_Hora_Hammer(47)'
'6630','iwmmj50','Guardian_Intense_Hora_Hammer(47)'
'6631','iwmmk50','Sharp_Intense_Hora_Hammer(47)'
'6632','iwmml50','Grand_Intense_Hora_Hammer(47)'
'6633','iwpma30','wind_Intense_Beem_Pike(27)'
'6634','iwpmb30','Endurance_Intense_Beem_Pike(27)'
'6635','iwpmc30','Pain_Intense_Beem_Pike(27)'
'6636','iwpmd30','Smart_Intense_Beem_Pike(27)'
'6637','iwpme30','Strong_Intense_Beem_Pike(27)'
'6638','iwpmf30','Solid_Intense_Beem_Pike(27)'
'6639','iwpmg30','Strength_Intense_Beem_Pike(27)'
'6640','iwpmh30','Advanced_Strength_Intense_Beem_Pike(27)'
'6641','iwpmi30','Vampire_Intense_Beem_Pike(27)'
'6642','iwpmj30','Guardian_Intense_Beem_Pike(27)'
'6643','iwpmk30','Sharp_Intense_Beem_Pike(27)'
'6644','iwpml30','Grand_Intense_Beem_Pike(27)'
'6645','iwpma35','wind_Intense_Beem_Winged_Spear(32)'
'6646','iwpmb35','Endurance_Intense_Beem_Winged_Spear(32)'
'6647','iwpmc35','Pain_Intense_Beem_Winged_Spear(32)'
'6648','iwpmd35','Smart_Intense_Beem_Winged_Spear(32)'
'6649','iwpme35','Strong_Intense_Beem_Winged_Spear(32)'
'6650','iwpmf35','Solid_Intense_Beem_Winged_Spear(32)'
'6651','iwpmg35','Strength_Intense_Beem_Winged_Spear(32)'
'6652','iwpmh35','Advanced_Strength_Intense_Beem_Winged_Spear(32)'
'6653','iwpmi35','Vampire_Intense_Beem_Winged_Spear(32)'
'6654','iwpmj35','Guardian_Intense_Beem_Winged_Spear(32)'
'6655','iwpmk35','Sharp_Intense_Beem_Winged_Spear(32)'
'6656','iwpml35','Grand_Intense_Beem_Winged_Spear(32)'
'6657','iwpma40','wind_Intense_Lance(37)'
'6658','iwpmb40','Endurance_Intense_Lance(37)'
'6659','iwpmc40','Pain_Intense_Lance(37)'
'6660','iwpmd40','Smart_Intense_Lance(37)'
'6661','iwpme40','Strong_Intense_Lance(37)'
'6662','iwpmf40','Solid_Intense_Lance(37)'
'6663','iwpmg40','Strength_Intense_Lance(37)'
'6664','iwpmh40','Advanced_Strength_Intense_Lance(37)'
'6665','iwpmi40','Vampire_Intense_Lance(37)'
'6666','iwpmj40','Guardian_Intense_Lance(37)'
'6667','iwpmk40','Sharp_Intense_Lance(37)'
'6668','iwpml40','Grand_Intense_Lance(37)'
'6669','iwpma45','wind_Intense_Field_Lance(42)'
'6670','iwpmb45','Endurance_Intense_Field_Lance(42)'
'6671','iwpmc45','Pain_Intense_Field_Lance(42)'
'6672','iwpmd45','Smart_Intense_Field_Lance(42)'
'6673','iwpme45','Strong_Intense_Field_Lance(42)'
'6674','iwpmf45','Solid_Intense_Field_Lance(42)'
'6675','iwpmg45','Strength_Intense_Field_Lance(42)'
'6676','iwpmh45','Advanced_Strength_Intense_Field_Lance(42)'
'6677','iwpmi45','Vampire_Intense_Field_Lance(42)'
'6678','iwpmj45','Guardian_Intense_Field_Lance(42)'
'6679','iwpmk45','Sharp_Intense_Field_Lance(42)'
'6680','iwpml45','Grand_Intense_Field_Lance(42)'
'6681','iwpma50','wind_Intense_Hora_Spear(47)'
'6682','iwpmb50','Endurance_Intense_Hora_Spear(47)'
'6683','iwpmc50','Pain_Intense_Hora_Spear(47)'
'6684','iwpmd50','Smart_Intense_Hora_Spear(47)'
'6685','iwpme50','Strong_Intense_Hora_Spear(47)'
'6686','iwpmf50','Solid_Intense_Hora_Spear(47)'
'6687','iwpmg50','Strength_Intense_Hora_Spear(47)'
'6688','iwpmh50','Advanced_Strength_Intense_Hora_Spear(47)'
'6689','iwpmi50','Vampire_Intense_Hora_Spear(47)'
'6690','iwpmj50','Guardian_Intense_Hora_Spear(47)'
'6691','iwpmk50','Sharp_Intense_Hora_Spear(47)'
'6692','iwpml50','Grand_Intense_Hora_Spear(47)'
'6693','iwtma30','wind_Intense_Dual_Wand(27)'
'6694','iwtmb30','Endurance_Intense_Dual_Wand(27)'
'6695','iwtmc30','Pain_Intense_Dual_Wand(27)'
'6696','iwtmd30','Smart_Intense_Dual_Wand(27)'
'6697','iwtme30','Strong_Intense_Dual_Wand(27)'
'6698','iwtmf30','Solid_Intense_Dual_Wand(27)'
'6699','iwtmg30','Strength_Intense_Dual_Wand(27)'
'6700','iwtmh30','Advanced_Strength_Intense_Dual_Wand(27)'
'6701','iwtmi30','Vampire_Intense_Dual_Wand(27)'
'6702','iwtmj30','Guardian_Intense_Dual_Wand(27)'
'6703','iwtmk30','Sharp_Intense_Dual_Wand(27)'
'6704','iwtml30','Grand_Intense_Dual_Wand(27)'
'6705','iwtma35','wind_Intense_Blue_Wand(32)'
'6706','iwtmb35','Endurance_Intense_Blue_Wand(32)'
'6707','iwtmc35','Pain_Intense_Blue_Wand(32)'
'6708','iwtmd35','Smart_Intense_Blue_Wand(32)'
'6709','iwtme35','Strong_Intense_Blue_Wand(32)'
'6710','iwtmf35','Solid_Intense_Blue_Wand(32)'
