'0','iabba01','Fire_Parsal_AppendixA(1)'
'1042','iacna18','Dead_Outcast`s_Earring(3)(Cora)'
'1043','iaana01','Starved_Beast`s_Earring(1)(Accretia)'
'1044','iaana02','Starved_Beast`s_Earring(2)(Accretia)'
'1045','iaana03','Starved_Beast`s_Earring(3)(Accretia)'
'1046','iaana04','Violent_Wild`s_Earring(1)(Accretia)'
'1047','iaana05','Violent_Wild`s_Earring(2)(Accretia)'
'1048','iaana06','Violent_Wild`s_Earring(3)(Accretia)'
'1049','iaana07','Fluctuating_Beast_Vital`s_Earring(1)(Accretia)'
'1050','iaana08','Fluctuating_Beast_Vital`s_Earring(2)(Accretia)'
'1051','iaana09','Fluctuating_Beast_Vital`s_Earring(3)(Accretia)'
'1052','iaana10','Outcasted_Marauder`s_Earring(1)(Accretia)'
'1053','iaana11','Outcasted_Marauder`s_Earring(2)(Accretia)'
'1054','iaana12','Outcasted_Marauder`s_Earring(3)(Accretia)'
'1055','iaana13','Liberated_Outcast`s_Earring(1)(Accretia)'
'1056','iaana14','Liberated_Outcast`s_Earring(2)(Accretia)'
'1057','iaana15','Liberated_Outcast`s_Earring(3)(Accretia)'
'1058','iaana16','Dead_Outcast`s_Earring(1)(Accretia)'
'1059','iaana17','Dead_Outcast`s_Earring(2)(Accretia)'
'1060','iaana18','Dead_Outcast`s_Earring(3)(Accretia)'
'1061','iadgn01','Dagon`s_Leash'
'1062','iadgn02','BlackBlood_Brother`s_Leash'
'1063','iaqua01','Empire`s_Amulet'
'1064','iaqub01','Freedom`s_Amulet'
'1065','iabka01','Solidly_engraved_Khan`s_Sentence(Bellato)_'
'1066','iabka02','Fiercely_engraved_Khan`s_Sentence(Bellato)'
'1067','iabka03','Pliably_engraved_Sentence(Bellato)'
'1068','iacka01','Solidly_engraved_Khan`s_Sentence(Cora)'
'1069','iacka02','Fiercely_engraved_Khan`s_Sentence(Cora)'
'1070','iaaka01','Solidly_engraved_Khan`s_Sentence(Accretia)'
'1071','iaaka02','Fiercely_engraved_Khan`s_Sentence(Accretia)'
'1072','iabbd16','KeeperSlayer_Guard_Appendix(medium)'
'1073','iabbd17','KeeperSlayer_Guard_Appendix(low)'
'1074','iabbd18','KeeperSlayer_Guard_Appendix(top)'
'1075','iabbd19','KeeperSlayer_Courage_Appendix(medium)'
'1076','iabbd20','KeeperSlayer_Courage_Appendix(low)'
'1077','iabbd21','KeeperSlayer_Courage_Appendix(top)'
'1078','iaccd81','KeeperSlayer_Charge_Earring(medium)'
'1079','iaccd82','KeeperSlayer_Charge_Earring(low)'
'1080','iaccd83','KeeperSlayer_Charge_Earring(top)'
'1081','iaaad56','KeeperSlayer_Mammoth_Earmuff(medium)'
'1082','iaaad57','KeeperSlayer_Mammoth_Earmuff(low)'
'1083','iaaad58','KeeperSlayer_Mammoth_Earmuff(top)'
'1084','iabbx16','Harvest_Festival_MoonRabit_AppendixA(medium)'
'1085','iabbx17','Harvest_Festival_MoonRabit_AppendixA(low)'
'1086','iabbx18','Harvest_Festival_MoonRabit_AppendixA(top)'
'1087','iabbx19','Harvest_Festival_MoonRabit_AppendixB(medium)'
'1088','iabbx20','Harvest_Festival_MoonRabit_AppendixB(low)'
'1089','iabbx21','Harvest_Festival_MoonRabit_AppendixB(top)'
'1090','iaccx81','Harvest_Festival_MoonRabit_Earring(medium)'
'1091','iaccx82','Harvest_Festival_MoonRabit_Earring(low)'
'1092','iaccx83','Harvest_Festival_MoonRabit_Earring(top)'
'1093','iaaax56','Harvest_Festival_MoonRabit_Earmuff(medium)'
'1094','iaaax57','Harvest_Festival_MoonRabit_Earmuff(low)'
'1095','iaaax58','Harvest_Festival_MoonRabit_Earmuff(top)'
'1096','iaqsa01','Volcano_Expedition_Commemoration_Amulet'
'1097','iaqsa02','Novas_Expedition_Commemoration_Amulet'
'1098','iaqsa03','Seal_of_Novajan'
'1099','iaqsa04','Honor_of_Nazaal'
'1100','iaqsa05','Stigma_of_Nazaal'
'1101','iaqsa06','Glory_of_Nazaal'
'1102','iaqsa07','Bless_of_Nazaal'
'1103','iadna01','Earring_of_Beast(No_Option)'
'1104','iadna02','Earring_of_Beast`s_life(No_Option)'
'1105','iadna03','Earring_of_Wild_Nature(No_Option)'
'1106','iadna04','Earring_of_Plunderer(No_Option)'
'1107','iadna05','Earring_of_Exile(No_Option)'
'1108','iadna06','Earring_of_Dead_Exile(No_Option)'
'1109','iacol01','2008_Beijing_Olympic_Commemoration_Medal(Cora_Offense_Defense)'
'1110','iacol02','2008_Beijing_Olympic_Commemoration_Medal(Cora_Offense_Avoidance'
'1111','iaaol01','2008_Beijing_Olympic_Commemoration_Medal(Accretia_Offense_Defen'
'1112','iaaol02','2008_Beijing_Olympic_Commemoration_Medal(Accretia_Offense_Avoid'
'1113','iacsa02','AmuletA_of_Middle_Class(Offense_Type)'
'1114','iacsa04','Beginners_Amulet(Period_Type)'
'1115','iacsa03','AmuletB_of_Middle_Class(Defense_Type)'
