'0','00000','Young_Flym(A)'
'1185','18C2C','HoraInferno_Block_Guard(Guard)'
'1186','19613','Dark_Elf__Shield_Guard(ChampionD)'
'1187','19513','Dark_Elf_Mechanic_Master(ChampionD)'
'1188','18F23','Dark_Elf_Assassin(EliteD)'
'1189','19223','Holy_Elf_Magician(EliteD)'
'1190','15C13','Holy_Elf_Sosuris(EliteD)'
'1191','14F23','Dark_Elf_Gunner(EliteD)'
'1192','15123','Dark_Elf_Berserker(HeroD)'
'1193','15023','Dark_Elf_Knight(HeroD)'
'1194','15E23','Holy_Elf_Knight(HeroD)'
'1195','15E33','Holy_Elf_Royal_Guard(HeroD)'
'1196','18C27','HoraInferno_Block_(DBoss)'
'1197','05903','Chuty(D)'
'1198','0A903','HugeBeacon(D)'
'1199','1401B','Frenzy_Iron_Patroller(AceD)'
'1200','14023','Novajan_Iron_Patroller(ChampionD)'
'1201','17313','Blackbox(D)'
'1202','14A13','Frenzy_Sentinel_Brader(ChampionD)'
'1203','14A23','Novajan_Sentinel_Blader(EliteD)'
'1204','14B13','Frenzy_Sentinel_Shooter(ChampionD)'
'1205','14B23','Novajan_Sentinel_Shooter(EliteD)'
'1206','14D27','Eldycloche'
'1207','14D37','Eldycloche(Fake_Dboss)'
'1208','17603','Crawler_Ghost(ChampionD)'
'1209','17623','Novajan_Crawler_Ghost(EliteD)'
'1210','17703','Snatcher_Ghost(ChampionD)'
'1211','17713','Novajan_Snatcher_Ghost(EliteD)'
'1212','14613','Frenzy_Metal_Fly_Hound(ChampionD)'
'1213','14623','Novajan_Metal_Fly_Hound(EliteD)'
'1214','14033','Adult_Iron_Patroller(ChampionD)'
'1215','14003','Elven_Iron_Patroller(EliteD)'
'1216','17507','Illusion_Vafer_Ghost(Dboss)'
'1217','17517','Illusion_vafer_Ghost(Fake_Dboss)'
'1218','17513','Novajan_Vafer_Ghost(EliteD)'
'1219','17423','Frenzy_Necro_Metalion(ChampionD)'
'1220','17433','Novajan_Necro_Metalion(EliteD)'
'1221','16327','Luo_Regnum(Fake_Dboss)'
'1222','17023','Vafer_Magician(ChampionD)'
'1223','17033','Frenzy_Betrayer_Vafer_Magician(EliteD)'
'1224','17043','Novajan_Vafer_Magician(HeroD)'
'1225','17243','Crawler_Priest(ChampionD)'
'1226','17253','Frenzy_Betrayer_Crawler_Priest(EliteD)'
'1227','17263','Novajan_Crawler_Priest(HeroD)'
'1228','17123','Snatcher_Magician(ChampionD)'
'1229','17143','Frenzy_Betrayer_Snatcher_Magician(EliteD)'
'1230','17133','Novajan_Snatcher_Magician(HeroD)'
'1231','14C13','Frenzy_Strider(ChampionD)'
'1232','14C23','Novajan_Strider(EliteD)'
'1233','13F13','Metal_Eater(ChampionD)'
'1234','13F23','Novajan_Metal_Eater(EliteD)'
'1235','05803','Caliana_Hire(HeroD)'
'1236','05613','Caliana_Cruel(ChampionD)'
'1237','05703','Caliana_Atren(ChampionD)'
'1238','0B303','Caliana_Hunter(ChampionD)'
'1239','09213','Assassin_BuilderV(ChampionD)'
'1240','05103','Passer_Alpah_Mu'
'1241','05403','Passer_Beta_Mu'
'1242','05303','Hovo_Rover_Revert(ChampionD)'
'1243','04F13','Hovo_Cutter_Revert(ChampionD)'
'1244','07F23','Turncoat_Advanturer_Commander(HeroD)'
'1245','08C13','Turncoat_Wizard_Commander(HeroD)'
'1246','08923','Turncoat_Graser_Commander(HeroD)'
'1247','08817','Turncoat_Striker_Captain(Dboss)'
'1248','0881C','Turncoat_Striker_Captain_Guard)(Guard)'
'1249','08317','Turncoat_Holy_Chandra_Captain(Dboss)'
'1250','0831C','Turncoat_Holy_Chandra_Captain_Guard(Guard)'
'1251','08B17','Turncoat_Shield_Miler_Captain(Dboss)'
'1252','08B1C','Turncoat_Shield_Miler_Captain(Guard)'
'1253','1760B','Crawler_Ghost_Soldier(AceD)'
'1254','1770B','Snatcher_Ghost_Soldier(AceD)'
'1255','1750B','Vafer_Ghost_Soldier(AceD)'
'1256','0EB0B','Black_Mite_War_Beast(AceD)'
'1257','04123','hook_Big_Brulta(ChampionD)'
'1258','0090B','Strong_Hive_Marr(AceD)'
'1259','00923','Big_Sting_Host_Marr(ChampionD)'
'1260','00E33','Strong_Queen_Hive_Marr(EliteD)'
'1261','0CA07','Eternal_dark_swamp_Demolis(Dboss)'
'1262','0CA0C','Eternal_dark_swamp_Demolis(Guard)'
'1263','0C907','Eternal_dark_swamp_scales_Clan(Dboss)'
'1264','0C90C','Eternal_dark_swamp_scales_Clan_Guard(Guard)'
'1265','0CA13','Blue_Dark_Demolis(HeroD)'
'1266','0D81B','Cremle_Snatcher_Soldier(AceD)'
'1267','1561B','Cremle_Snatcher_apprenticeship_archery(AceD)'
'1268','0D82B','Cremle_Snatcher_Guard(AceD)'
'1269','1552B','Narum_Crawler_Soldier(AceD)'
'1270','1551B','Narum_Crawler_Guard(AceD)'
'1271','01B23','Red_Fang_Lunker(EliteD)'
'1272','13523','Red_Haired_Splinter(EliteD)'
'1273','01033','Fanged_SplinterKing(EliteD)'
'1274','04E23','Raked_Draco_king(EliteD)'
'1275','01917','Fierce_bighorn_Carnnibal(Dboss)'
'1276','0191C','Fierce_bighorn_Carnnibal_Guard(Guard)'
'1277','0EB07','Fierce_Black_Crow_warbeast(Dboss)'
'1278','0EB0C','Fierce_black_crow_warbeast_guard(guard)'
'1279','13507','Red_haired_Splinterking(Dboss)'
'1280','1351C','Red_haired_splinterking_guard(guard)'
'1281','04E07','Big_Raked_Draco(Dboss)'
'1282','04E1C','Big_Raked_Draco_Guard(guard)'
'1283','14333','Mutant_Whiten(AceD)'
'1284','1441B','Rage_siecle(AceD)'
'1285','14323','King_Mutant_Whiten(HeroD)'
'1286','14913','Mutant_Trooper(ChampionD)'
'1287','1421B','Spector_Junior(AceD)'
'1288','14213','Spector(ChampionD)'
'1289','0ED13','Izen_Block(EliteD)'
'1290','10413','Dark_sign_Unit_executor(ChampionD)'
'1291','10F13','Dark_Sign_Unit_Launcher(EliteD)'
'1292','11713','Dark_Sign_Unit_Commander(HeroD)'
'1293','0ED17','Izen_Crasher(Dboss)'
'1294','13A17','Dark_Sign(Dboss)'
'1295','03923','Glasher_Hellar(EliteD)'
'1296','03303','Flow_Hellar(ChampionD)'
'1297','03913','Prince_Hellar(HeroD)'
'1298','0270B','Dust_Phantom(AceD)'
'1299','0621B','Dust_Athrobe(AceD)'
'1300','14B0C','Sentinel_BladerGuard(Guard)'
'1301','05E1B','Covenant_Bolade(AceD)'
'1302','19B0B','Covenant_Firebolt(AceD)'
'1303','14603','Dust_Metal_Hound(ChampionD)'
'1304','1820B','Covenant_Hellawing(AceD)'
'1305','18C0C','Flame_Inferno_Guard(Guard)'
'1306','14043','Dust_Iron_Patroller(ChampionD)'
'1307','18713','Covenant_Flameeater(ChampionD)'
'1308','18513','Rapid_RockTwizer(EliteD)'
'1309','1610C','Doom_Crasherguard(Guard)'
'1310','18413','Covenant_forehand_runner(EliteD)'
'1311','18113','Rapid_Deathmoss(EliteD)'
'1312','00E0C','Demon_Curian_Guard(Guard)'
'1313','14A07','Sentinel_Blader(Dboss)'
'1314','18C07','Flame_Inferno(Dboss)'
'1315','14707','Demon_Curian_(Dboss)'
'1316','16317','Doom_Crasher(Dboss)'
