'0','iibba01','Fire_Parsal_WristletA(1)'
'1039','iibna06','Violent_Wild`s_Earring(3)(Bellato)'
'1040','iibna07','Fluctuating_Beast_Vital`s_Earring(1)(Bellato)'
'1041','iibna08','Fluctuating_Beast_Vital`s_Earring(2)(Bellato)'
'1042','iibna09','Fluctuating_Beast_Vital`s_Earring(3)(Bellato)'
'1043','iibna10','Outcasted_Marauder`s_Earring(1)(Bellato)'
'1044','iibna11','Outcasted_Marauder`s_Earring(2)(Bellato)'
'1045','iibna12','Outcasted_Marauder`s_Earring(3)(Bellato)'
'1046','iibna13','Liberated_Outcast`s_Ring(1)(Bellato)'
'1047','iibna14','Liberated_Outcast`s_Ring(2)(Bellato)'
'1048','iibna15','Liberated_Outcast`s_Ring(3)(Bellato)'
'1049','iibna16','Dead_Outcast`s_Ring(1)(Bellato)'
'1050','iibna17','Dead_Outcast`s_Ring(2)(Bellato)'
'1051','iibna18','Dead_Outcast`s_Ring(3)(Bellato)'
'1052','iicna01','Starved_Beast`s_Ring(1)(Cora)'
'1053','iicna02','Starved_Beast`s_Ring(2)(Cora)'
'1054','iicna03','Starved_Beast`s_Ring(3)(Cora)'
'1055','iicna04','Violent_Wild`s_Earring(1)(Cora)'
'1056','iicna05','Violent_Wild`s_Earring(2)(Cora)'
'1057','iicna06','Violent_Wild`s_Earring(3)(Cora)'
'1058','iicna07','Fluctuating_Beast_Vital`s_Earring(1)(Cora)'
'1059','iicna08','Fluctuating_Beast_Vital`s_Earring(2)(Cora)'
'1060','iicna09','Fluctuating_Beast_Vital`s_Earring(3)(Cora)'
'1061','iicna10','Outcasted_Marauder`s_Earring(1)(Cora)'
'1062','iicna11','Outcasted_Marauder`s_Earring(2)(Cora)'
'1063','iicna12','Outcasted_Marauder`s_Earring(3)(Cora)'
'1064','iicna13','Liberated_Outcast`s_Ring(1)(Cora)'
'1065','iicna14','Liberated_Outcast`s_Ring(2)(Cora)'
'1066','iicna15','Liberated_Outcast`s_Ring(3)(Cora)'
'1067','iicna16','Dead_Outcast`s_Ring(1)(Cora)'
'1068','iicna17','Dead_Outcast`s_Ring(2)(Cora)'
'1069','iicna18','Dead_Outcast`s_Ring(3)(Cora)'
'1070','iiana01','Starved_Beast`s_Ring(1)(Accretia)'
'1071','iiana02','Starved_Beast`s_Ring(2)(Accretia)'
'1072','iiana03','Starved_Beast`s_Ring(3)(Accretia)'
'1073','iiana04','Violent_Wild`s_Earring(1)(Accretia)'
'1074','iiana05','Violent_Wild`s_Earring(2)(Accretia)'
'1075','iiana06','Violent_Wild`s_Earring(3)(Accretia)'
'1076','iiana07','Fluctuating_Beast_Vital`s_Earring(1)(Accretia)'
'1077','iiana08','Fluctuating_Beast_Vital`s_Earring(2)(Accretia)'
'1078','iiana09','Fluctuating_Beast_Vital`s_Earring(3)(Accretia)'
'1079','iiana10','Outcasted_Marauder`s_Earring(1)(Accretia)'
'1080','iiana11','Outcasted_Marauder`s_Earring(2)(Accretia)'
'1081','iiana12','Outcasted_Marauder`s_Earring(3)(Accretia)'
'1082','iiana13','Liberated_Outcast`s_Ring(1)(Accretia)'
'1083','iiana14','Liberated_Outcast`s_Ring(2)(Accretia)'
'1084','iiana15','Liberated_Outcast`s_Ring(3)(Accretia)'
'1085','iiana16','Dead_Outcast`s_Ring(1)(Accretia)'
'1086','iiana17','Dead_Outcast`s_Ring(2)(Accretia)'
'1087','iiana18','Dead_Outcast`s_Ring(3)(Accretia)'
'1088','iidgn01','Dagnu`s_Ring'
'1089','iidgn02','Dagan`s_Ring'
'1090','iiquc01','Divinity`s_Ring'
'1091','iibka01','Solid_Khan`s_Bracelet(Bellato)'
'1092','iibka02','Fierce_Khan`s_Bracelet(Bellato)'
'1093','iicka01','Solid_Khan`s_Bracelet(Cora)'
'1094','iicka02','Pliable_Khan`s_Bracelet(Cora)'
'1095','iicka03','Fierce_Khan`s_Bracelet(Cora)'
'1096','iiaka01','Solid_Khan`s_Bracelet(Accretia)'
'1097','iiaka02','Fierce_Khan`s_Bracelet(Accretia)'
'1098','iibbd81','KeeperSlayer_Guard_Leacelet(medium)'
'1099','iibbd82','KeeperSlayer_Guard_Leacelet(low)'
'1100','iibbd83','KeeperSlayer_Guard_Leacelet(top)'
'1101','iiccd16','KeeperSlayer_Charge_Armlet(medium)'
'1102','iiccd17','KeeperSlayer_Charge_Armlet(low)'
'1103','iiccd18','KeeperSlayer_Charge_Armlet(top)'
'1104','iiccd19','KeeperSlayer_Den_Armlet(medium)'
'1105','iiccd20','KeeperSlayer_Den_Armlet(low)'
'1106','iiccd21','KeeperSlayer_Den_Armlet(top)'
'1107','iiaad81','KeeperSlayer_Mammoth_Bracelet(medium)'
'1108','iiaad82','KeeperSlayer_Mammoth_Bracelet(low)'
'1109','iiaad83','KeeperSlayer_Mammoth_Bracelet(top)'
'1110','iibbx81','Harvest_Festival_MoonRabbit_Leacelet(medium)'
'1111','iibbx82','Harvest_Festival_MoonRabbit_Leacelet(low)'
'1112','iibbx83','Harvest_Festival_MoonRabbit_Leacelet(top)'
'1113','iiccx16','Harvest_Festival_MoonRabbit_ArmletA(medium)'
'1114','iiccx17','Harvest_Festival_MoonRabbit_ArmletA(low)'
'1115','iiccx18','Harvest_Festival_MoonRabbit_ArmletA(top)'
'1116','iiccx19','Harvest_Festival_MoonRabbit_ArmletB(medium)'
'1117','iiccx20','Harvest_Festival_MoonRabbit_ArmletB(low)'
'1118','iiccx21','Harvest_Festival_MoonRabbit_ArmletB(top)'
'1119','iiaax81','Harvest_Festival_MoonRabbit_Bracelet(medium)'
'1120','iiaax82','Harvest_Festival_MoonRabbit_Bracelet(low)'
'1121','iiaax83','Harvest_Festival_MoonRabbit_Bracelet(top)'
'1122','iiqsa01','Volcano_Expedition_Commemoration_Ring'
'1123','iiqsa02','Elan_Expedition_Commemoration_Ring'
'1124','iiqsa03','Ring_of_Chooty_Slayer'
'1125','iiqsa04','Patience_of_Nazaal'
'1126','iiqsa05','Breath_of_Nazaal'
'1127','iibol01','2008_Beijing_Olympic_Commemoration_Medal(Bellato_Offense_Defens'
'1128','iibol02','2008_Beijing_Olympic_Commemoration_Medal(Bellato_Offense_Avoida'
'1129','iicsa02','RingA_of_Middle_Class(Offense_Type)'
'1130','iixxx04','Avoidance_Ring_for_Adventurer'
'1131','iicsa04','Beginners_Ring(Period_type)'
'1132','iicsa03','RingB_of_Middle_Class(Defense_Type)'
'1133','iiglb01','Hungry_WildBeast_Ring_LowClass(Bellato)'
'1134','iiglb02','Hungry_WildBeast_Ring_MiddleClass(Bellato)'
'1135','iiglb03','Hungry_WildBeast_Ring_HighClass(Bellato)'
'1136','iiglc01','Hungry_WildBeast_Ring_LowClass(Cora)'
'1137','iiglc02','Hungry_WildBeast_Ring_MiddleClass(Cora)'
'1138','iiglc03','Hungry_WildBeast_Ring_HighClass(Cora)'
'1139','iigla01','Hungry_WildBeast_Ring_LowClass(Accretia)'
'1140','iigla02','Hungry_WildBeast_Ring_MiddleClass(Accretia)'
'1141','iigla03','Hungry_WildBeast_Ring_HighClass(Accretia)'
'1142','iiglb04','Waved_WildBeast_Life`s_Ring_LowClass(Bellato)'
'1143','iiglb05','Waved_WildBeast_Life`s_Ring_MiddleClass(Bellato)'
'1144','iiglb06','Waved_WildBeast_Life`s_Ring_HighClass(Bellato)'
'1145','iiglc04','Waved_WildBeast_Life`s_Ring_LowClass(Cora)'
'1146','iiglc05','Waved_WildBeast_Life`s_Ring_MiddleClass(Cora)'
'1147','iiglc06','Waved_WildBeast_Life`s_Ring_HighClass(Cora)'
'1148','iigla04','Waved_WildBeast_Life`s_Ring_LowClass(Accretia)'
'1149','iigla05','Waved_WildBeast_Life`s_Ring_MiddleClass(Accretia)'
'1150','iigla06','Waved_WildBeast_Life`s_Ring_HighClass(Accretia)'
'1151','iiglb07','Possessed_nature`s_ring_LowClass(Bellato)'
'1152','iiglb08','Possessed_nature`s_ring_MiddleClass(Bellato)'
'1153','iiglb09','Possessed_nature`s_ring_HighClass(Bellato)'
'1154','iiglc07','Possessed_nature`s_ring_LowClass(Cora)'
'1155','iiglc08','Possessed_nature`s_ring_MiddleClass(Cora)'
'1156','iiglc09','Possessed_nature`s_ring_HighClass(Cora)'
'1157','iigla07','Possessed_nature`s_ring_LowClass(Accretia)'
'1158','iigla08','Possessed_nature`s_ring_MiddleClass(Accretia)'
'1159','iigla09','Possessed_nature`s_ring_HighClass(Accretia)'
'1160','iiglb10','Exiled_Plunderer`s_ring_LowClass(Bellato)'
'1161','iiglb11','Exiled_Plunderer`s_ring_MiddleClass(Bellato)'
'1162','iiglb12','Exiled_Plunderer`s_ring_HIghClass(Bellato)'
'1163','iiglc10','Exiled_Plunderer`s_ring_LowClass(Cora)'
'1164','iiglc11','Exiled_Plunderer`s_ring_MiddleClass(Cora)'
'1165','iiglc12','Exiled_Plunderer`s_ring_HIghClass(Cora)'
'1166','iigla10','Exiled_Plunderer`s_ring_LowClass(Accretia)'
'1167','iigla11','Exiled_Plunderer`s_ring_MiddleClass(Accretia)'
'1168','iigla12','Exiled_Plunderer`s_ring_HIghClass(Accretia)'
'1169','iiglb13','Released_Purgee`s_Ring_LowClass(Bellato)'
'1170','iiglb14','Released_Purgee`s_Ring_MiddleClass(Bellato)'
'1171','iiglb15','Released_Purgee`s_Ring_HighClass(Bellato)'
'1172','iiglc13','Released_Purgee`s_Ring_LowClass(Cora)'
'1173','iiglc14','Released_Purgee`s_Ring_MiddleClass(Cora)'
'1174','iiglc15','Released_Purgee`s_Ring_HighClass(Cora)'
'1175','iigla13','Released_Purgee`s_Ring_LowClass(Accretia)'
'1176','iigla14','Released_Purgee`s_Ring_MiddleClass(Accretia)'
'1177','iigla15','Released_Purgee`s_Ring_HighClass(Accretia)'
'1178','iiglb16','Dead_Purgee`s_Ring_LowClass(Bellato)'
'1179','iiglb17','Dead_Purgee`s_Ring_MiddleClass(Bellato)'
'1180','iiglb18','Dead_Purgee`s_Ring_HighClass(Bellato)'
'1181','iiglc16','Dead_Purgee`s_Ring_LowClass(Cora)'
'1182','iiglc17','Dead_Purgee`s_Ring_MiddleClass(Cora)'
'1183','iiglc18','Dead_Purgee`s_Ring_HighClass(Cora)'
'1184','iigla16','Dead_Purgee`s_Ring_LowClass(Accretia)'
'1185','iigla17','Dead_Purgee`s_Ring_MiddleClass(Accretia)'
'1186','iigla18','Dead_Purgee`s_Ring_HighClass(Accretia)'
